"x","y","ac"
504194,2991901,1
538268,2890226,2
519215,3131583,3
519200,3086571,4
519539,2895040,5
570021,2945648,6
464206,2926893,7
459228,2991764,8
524202,3116591,9
534521,3076508,10
479118,2981561,11
563821,2969773,12
499297,2976363,13
528607,3084291,14
560243,2982130,15
539214,3041552,16
545044,3041079,17
469365,2921353,18
519464,2916157,19
494209,2921485,20
473426,2920793,21
459213,2926563,22
519203,2911551,23
494120,2976634,24
498809,2936140,25
539207,3046573,26
477461,2920536,27
499373,2929046,28
564615,2968103,29
494213,2926577,30
539129,3051305,31
444144,2921931,32
519418,3097533,33
449262,2921517,34
519219,3116656,35
534732,3057132,36
