"V1","V2","V3","V4","V5","V6"
0,0,0,0,450,0
0,0,0,0,4,0
8,0,0,0,1,0
6,0,0,0,0,0
3,0,0,0,7,0
0,7,0,0,3,0
0,0,0,0,85,0
0,0,0,0,230,0
0,0,0,0,23,0
4,0,0,0,134,0
0,0,0,0,39,0
0,0,0,0,408,0
0,0,0,0,165,0
0,3,0,0,105,0
0,1448,0,0,0,0
0,20,23,0,0,0
0,0,625,0,0,0
0,0,30,0,0,0
0,0,675,0,0,0
0,0,10,0,0,0
0,0,145,0,0,0
0,0,51,0,0,0
0,0,335,0,0,0
0,0,24,5,0,0
0,0,69,0,0,0
0,0,54,0,0,0
0,0,141,0,0,0
0,2,40,0,0,0
0,975,0,0,0,0
0,799,0,0,0,0
0,25,0,0,0,0
0,228,0,0,0,0
0,72,0,0,0,0
0,2,4,0,0,0
0,0,8,0,0,0
0,0,76,0,0,0
0,0,52,0,0,0
0,0,817,0,0,0
0,0,5,0,0,0
0,0,24,0,0,0
0,0,41,0,0,0
0,0,28,1,0,0
0,0,0,0,0,43
0,0,6,0,0,4
0,0,444,0,0,0
0,0,2,10,0,0
3,0,0,1,0,3
11,0,0,0,0,0
68,0,0,0,0,0
